"date","commodity","symbol","sector","close","volume","open_interest","return","tr","tone"
2019-05-20,"Copper","CU0","Metals",47620,117452,208752,-0.0209973754051518,1.16165431583735,-0.255644681882651
2019-05-21,"Copper","CU0","Metals",47700,122918,213022,0.16785568355786,1.15749083960761,-0.151158591652434
2019-05-22,"Copper","CU0","Metals",47160,224660,224124,-1.13853222251254,1.15656565941396,-0.113392684447734
2019-05-23,"Copper","CU0","Metals",46680,173938,236656,-1.02302682508153,1.1556404792203,0.0150799380578688
2019-05-24,"Copper","CU0","Metals",47170,164438,234148,1.04422898778154,1.15471529902664,-0.133093473168556
2019-05-27,"Copper","CU0","Metals",47280,133378,232158,0.232927580167264,1.15379011883299,-0.0736232023181496
2019-05-28,"Copper","CU0","Metals",47130,83480,228318,-0.317763216220257,1.15286493863933,-0.0767928334988577
2019-05-29,"Copper","CU0","Metals",46810,112976,226488,-0.681288562366156,1.15193975844567,-0.277734703324264
2019-05-30,"Copper","CU0","Metals",46550,159450,239870,-0.5569851588902,1.15101457825202,-0.108834255304034
2019-05-31,"Copper","CU0","Metals",46180,183872,236888,-0.798019979672659,1.15008939805836,-0.147969263034693
2019-06-03,"Copper","CU0","Metals",46130,117262,224764,-0.108330635662135,1.14916421786471,-0.0279072648779457
2019-06-04,"Copper","CU0","Metals",46270,83460,218826,0.303030534917959,1.14823903767105,-0.114304835912087
2019-06-05,"Copper","CU0","Metals",46490,92440,210750,0.474343278358447,1.14731385747739,-0.100862376752301
2019-06-06,"Copper","CU0","Metals",46020,147732,200218,-1.01611510952733,1.14638867728374,-0.238556931397841
2019-06-10,"Copper","CU0","Metals",46260,73470,207944,0.52015721960732,1.14546349709008,-0.351878565366801
2019-06-11,"Copper","CU0","Metals",46900,163332,222788,1.37400186489405,1.14453831689643,-0.494750590424395
2019-06-12,"Copper","CU0","Metals",46480,154314,232238,-0.899556290857717,1.14361313670277,-0.366139863962503
2019-06-13,"Copper","CU0","Metals",46270,140080,245120,-0.452830962474771,1.14268795650911,-0.41240267082794
2019-06-14,"Copper","CU0","Metals",46340,130014,240504,0.151171608532152,1.14176277631546,-0.37368768008398
2019-06-17,"Copper","CU0","Metals",46150,122456,249026,-0.410855805536769,1.1408375961218,-0.397125541140918
2019-06-18,"Copper","CU0","Metals",46330,120452,249106,0.389273847969562,1.13991241592815,-0.348098625416198
2019-06-19,"Copper","CU0","Metals",46840,240284,243916,1.09478393009592,1.13898723573449,-0.41938082487372
2019-06-20,"Copper","CU0","Metals",46930,136528,244852,0.191959107680972,1.13896448507339,-0.374596499809598
2019-06-21,"Copper","CU0","Metals",46850,165026,245690,-0.170612112189517,1.1389417344123,-0.304577114654152
2019-06-24,"Copper","CU0","Metals",46750,138246,245078,-0.21367529497347,1.1389189837512,-0.337028011863415
2019-06-25,"Copper","CU0","Metals",47090,151490,245042,0.724640852076597,1.1388962330901,-0.318173142435884
2019-06-26,"Copper","CU0","Metals",47210,190358,241890,0.25450703027321,1.138873482429,-0.298839509309931
2019-06-27,"Copper","CU0","Metals",47090,136614,229534,-0.25450703027321,1.13885073176791,-0.36802667853494
